region,OBJECTID,site_ID,AUTHORIZATION_TYPE,company_person,Expiry Date of Lease/Permit/Licence,Cultivation Method,Site Size (HA),species,species_type
New Brunswick,346,MS-1343,Q09,Acadian Bay Sea Products Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",6.65,,Shellfish
New Brunswick,348,MS-1159,Q09,Patrick LeBreton,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",3.72,,Shellfish
New Brunswick,350,MS-0152,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",0.4,,Shellfish
New Brunswick,352,MS-0579,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",0.81,,Shellfish
New Brunswick,354,MS-0168,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,356,MS-1244,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",3.83,,Shellfish
New Brunswick,358,MS-1196,Q09,King Aquaculture Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",14.58,,Shellfish
New Brunswick,360,MS-0080,Q09,Livain Benoit et Alberto Benoit,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",3.24,,Shellfish
New Brunswick,362,MS-0860,Q09,Martin Thibodeau,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",4.05,,Shellfish
New Brunswick,364,MS-1015,Q09,R.M.L. PECHE LTEE,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",3,,Shellfish
New Brunswick,366,MS-1016,Q09,R.M.L. PECHE LTEE,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",2.43,,Shellfish
New Brunswick,368,MS-1370,Q09,R.M.L. PECHE LTEE,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,369,MS-0509,Q09,André Robichaud,"April 1, 2030",Bottom culture,3.24,,Shellfish
New Brunswick,371,MS-1408,Q09,Lawrence Bulger et Nathalie Bulger,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",4.97,,Shellfish
New Brunswick,373,MS-1415,Q09,Bruno Benoit,"April 1, 2030",Suspended culture,3.56,,Shellfish
New Brunswick,375,MS-1421,Q09,Allison Thibodeau,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",1.22,,Shellfish
New Brunswick,377,MS-1422,Q09,Martial Thibodeau,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",1.22,,Shellfish
New Brunswick,379,MS-1429,Q09,Elsipogtog First Nation,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",6.06,,Shellfish
New Brunswick,381,MS-1342,Q09,R & D Shellfish Ltd.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",8.11,,Shellfish
New Brunswick,383,MS-0511,Q09,Pierre Mallais,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",4.01,,Shellfish
New Brunswick,385,MS-1417,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",21.48,,Shellfish
New Brunswick,387,MS-1181,Q09,Cléo Rousselle et Jean-Paul Benoît,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",7.5,,Shellfish
New Brunswick,389,MS-1434,Q09,King Aquaculture Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",5.25,,Shellfish
New Brunswick,391,MS-0625,Q09,Pierre Bolduc,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",1.13,,Shellfish
New Brunswick,393,MS-0635,Q09,Luc Maillet,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",0.97,,Shellfish
New Brunswick,395,MS-1427,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",2.43,,Shellfish
New Brunswick,397,MS-0682,Q09,Mathieu LeBlanc,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",4.86,,Shellfish
New Brunswick,399,MS-0178,Q09,Nicole Beaudin et Martin Arsenault,"April 1, 2030",Bottom culture,2.83,,Shellfish
New Brunswick,402,MS-1438,Q09,J&S Oysters Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",4.82,,Shellfish
New Brunswick,404,MS-0670,Q09,Donny Dutcher,"April 1, 2028",Bottom culture,10.12,,Shellfish
New Brunswick,405,MS-1021,Q09,L2 - Recherche & Production Aquacole Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",21.37,,Shellfish
New Brunswick,406,MS-1044,Q09,James Labillois DBA Heron Island Oyster Grow,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
