"species_type","site_ID","license_type","company_person","Operating group","site_name","species","latitude","longitude","location"
"Shellfish","1443","Shellfish facility","Fan Seafoods Limited","","S.W. Marina Island","","50.04920","-125.05935",""
"Shellfish","1477","Shellfish facility","Fan Seafoods Limited","","South of Savary Island","","49.93190","-124.79948",""
"Shellfish","1478","Shellfish facility","Fan Seafoods Limited","","North of Savary Island","","49.95029","-124.81368",""
"Shellfish","1487","Shellfish facility","1109276 B.C. LTD.","","Okeover Inlet","","49.97162","-124.68016",""
"Shellfish","1488","Shellfish facility","Fan Seafoods Limited","","Thorp Island, Malaspina Inlet","","50.05146","-124.78872",""
"Shellfish","1489","Shellfish facility","Red Star Seafoods Ltd.","","Okeover Inlet","","50.02907","-124.71848",""
"Shellfish","1491","Shellfish facility","Chuong Huynh, Luan Van Nguyen, Tham Thi Hong Le and Nhan Thi Kim Nguyen","","SW of Deep Bay, Vancouver Island","","49.46141","-124.75312",""
"Shellfish","1495","Shellfish facility","Lucky 7's Oyster Co. Ltd.","","Near Denman Pt., Denman Island, Baynes Sound","","49.55031","-124.84397",""
"Shellfish","1517","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","","Fanny Bay, Baynes Sound","","49.50516","-124.82192",""
"Shellfish","1522","Shellfish facility","Taylor Shellfish Canada ULC","","Trevenan Bay","","50.01781","-124.73812",""
"Shellfish","1523","Shellfish hatchery","Island Sea Farms Inc.","","Trincomali Channel","","48.89800","-123.51100",""
"Shellfish","1543","Shellfish facility","Klahoose Shellfish Ltd. Partnership","","W. end of Talbot Cove in Teakerne Arm","","50.17168","-124.88811",""
"Shellfish","1546","Shellfish facility","Sheila Nilsson and Roland Nilsson","","Nanoose Bay, Lot 119","","49.25591","-124.17191",""
"Shellfish","1549","Shellfish facility","Dao Thi Pham and Sinh T. Phuong","","Coulter Bay, Cortes Island","","50.13135","-125.04669",""
"Shellfish","1553","Shellfish facility","William Robert Mounce","","Humpback Bay, NE Porcher Island","","54.08656","-130.39259",""
"Shellfish","1556","Shellfish facility","Richard Lozon","","Skidegate Inlet, Kagen Bay at Scalus Is.","","53.20284","-132.22332",""
"Shellfish","1560","Shellfish facility","Khuynh Van Nguyen","","Denman Island, Baynes Sound","","49.54105","-124.83193",""
"Shellfish","1572","Shellfish facility","Joanne Mccoy and Dale Mccoy","","East Marina Island","","50.07436","-125.03368",""
"Shellfish","1582","Shellfish hatchery","1195895 B.C. Ltd","","Cedar, South of Nanaimo","","49.10100","-123.80100",""
"Shellfish","1584","Shellfish facility","Totem Sea Farm Inc.","","St. Vincent Bay, Jervis Inlet","","49.83453","-124.05347",""
"Shellfish","1605","Shellfish facility","Yves Page","","Kinghorn Island","","50.08192","-124.83902",""
"Shellfish","1606","Shellfish facility","Oltabi Shellfish Co. Ltd.","","Lloyd Creek, Homfray Channel","","50.19794","-124.60826",""
"Shellfish","1607","Shellfish facility","Aphrodite's Garden Oyster Company","","Trevenen Bay, Coode Peninsula, Okeover Inlet","","50.01723","-124.73612",""
"Shellfish","1612","Shellfish facility","Shoreline Seafood Ltd.","","Denman Island, Baynes Sound","","49.53140","-124.81597",""
"Shellfish","1617","Shellfish hatchery","Manatee Holdings Ltd.","","Gartley Point","","49.64195","-124.92403",""
"Shellfish","1622","Shellfish facility","Huu-ay-aht First Nation","","Numukamis Bay","","48.90586","-125.01308",""
"Shellfish","1629","Shellfish facility","Huu-ay-aht First Nation","","Poett Nook, Numukamis Bay","","48.87809","-125.05119",""
"Shellfish","1636","Shellfish facility","Toquart Bay Shellfish Ltd.","","N/W Side of Stopper Island, Toquart Bay","","49.00468","-125.34855",""
"Shellfish","1637","Shellfish facility","Toquart Bay Shellfish Ltd.","","N/E Side of N. Stopper Island, Toquart Bay","","49.00393","-125.33962",""
"Shellfish","1638","Shellfish facility","Canadian Benthic Limited","","West Side of Effingham Inlet, Eastern Barkley Sound","","49.01525","-125.17919",""
"Shellfish","1641","Shellfish facility","Toquaht Management Ltd","","Bazett Island, Toquart Bay","","49.01767","-125.30746",""
