site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Kyles Vuia,10000876,FS0927,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,20-Oct-98,NB137355,Western Isles,Yes,Miavaig Pier,Uig,,HS2 9HW,,Fish,Seawater,Medium,113700,935500,6a - Loch Roag,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Druimyeon Bay,10000822,FS0336,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Apr-98,NR668519,Argyll and Bute,Yes,Highfield,Argyll,Argyll,PA41 7AA,,Fish,Seawater,Medium,166800,651900,18b - Gigha,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Loch Hunder,10000741,FS0902,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,08-Jul-97,NF903656,Western Isles,No,N/A,,,,,Fish,Freshwater,,90300,865600,Not in a management area,Western Isles,Bakkafrost Scotland,Atlantic Salmon
Rubha Stillaig,10000885,FS0894,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,02-Apr-97,NR925682,Argyll and Bute,Yes,Portavadie Fish Farm,Millhouse Tighnabruaich,Argyll,PA21 2DA,,Fish,Seawater,Medium,192500,668200,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Ardgaddan,10000907,FS0851,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-May-95,NR908810,Argyll and Bute,Yes,Stronachullin,Tarbert Road,"ArdrIshaig, Argyll",PA30 8ET,,Fish,Seawater,Medium,190800,681000,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Furnace,10000811,FS0567,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,28-Feb-95,NN034001,Argyll and Bute,Yes,Furnace Quarry,Upper Loch Fyne,"Furnace , Argyll",PA32 8YA,,Fish,Seawater,Medium,203400,700100,19a - Fyne,Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Grimsay,10000835,FS0051,Atlantic Salmon,Broodfish,N/A,0,N/A,31-Oct-94,NF886558,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,88600,855800,"7a - Ronay, Benbecula, N South Uist",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Petersport,10000860,FS0340,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,17-Aug-94,NF856461,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,85600,846100,"7a - Ronay, Benbecula, N South Uist",Western Isles,Bakkafrost Scotland,Atlantic Salmon
Geasgill,10000928,FS0839,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Aug-94,NM435377,Argyll and Bute,Yes,Ulva Ferry,Argyll,Argyll,PA73 6LY,,Fish,Seawater,Medium,143500,737700,"16a - Tuath, na Keal",Strathclyde,Bakkafrost Scotland,Atlantic Salmon
Greinam Island,10000761,FS0304,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Feb-94,NB202357,Western Isles,No,N/A,,,,,Fish,Seawater,Medium,120200,935700,,Western Isles,Bakkafrost Scotland,Atlantic Salmon
