site_name,Facility ID,Marine Scotland Site ID,Species,Stage,Facility Type,Number of Facilities,Facility Description,Date Registered,nationalgridreference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,watertype,Health Surveillance,easting,northing,MS Management Area,Region,company,species
Lismore South,10000501,FS0786,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jun-94,NM800360,Argyll and Bute,No,N/A,,,,,Fish,Seawater,,180000,736000,,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Sinnis Point Loch Shin,10000485,FS0824,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,10-Sep-93,NC518125,Highland,No,N/A,,,,,Fish,Freshwater,,251800,912500,,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Noust Geo,10000554,FS0823,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,04-Sep-93,HY570306,Orkney,Yes,Eday Marine Site,Eday Pier,,KW17 2AA,,Fish,Seawater,Medium,357000,1030600,8b - Central Orkney,Orkney,Scottish Sea Farms Ltd,Atlantic Salmon
West Quarff,10001375,FS0391,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-Aug-93,HU403352,Shetland,No,N/A,,,,,Fish,Seawater,High,440300,1135200,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Olna South,10001415,FS0764,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-93,HU373641,Shetland,Yes,Gonfirth Voe,,,ZE2 9PY,,Fish,Seawater,Medium,437300,1164100,4a - South St Magnus Bay,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Binnaness,10000546,FS0791,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,16-Sep-92,HU377427,Shetland,No,Foreholm,Brodaberrick,Whitemess,ZE2 9LL,,Fish,Seawater,Medium,437700,1142700,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Knock 3,10000483,FS0782,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-May-92,NM542396,Argyll and Bute,No,N/A,,,,,Fish,Freshwater,,154200,739600,,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Kishorn B (North),10000574,FS0804,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,20-Apr-92,NG791380,Highland,Yes,Loch Kishorn,Ross-shire,Ross-shire,IV54 8XB,,Fish,Seawater,High,179100,838000,"14a - Carron, Kishorn, Alsh, Duich",Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Knock,10000565,FS0254,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,20-Apr-92,NM541395,Argyll and Bute,Yes,Knock Hatchery,Aros,,PA71 6HR,,Fish,Freshwater,Low,154100,739500,Not in a management area,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Brunaness,10000549,FS0230,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,19-Mar-92,HU384365,Shetland,No,N/A,,,,,Fish,Seawater,Medium,438400,1136500,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Selivoe (High Banks),10000621,FS0228,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,19-Mar-92,HU332460,Shetland,No,N/A,,,,,Fish,Seawater,Medium,433200,1146000,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Ronas Voe (North)(Combined with 0039),10000494,FS0765,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,02-Mar-92,HU310808,Shetland,No,N/A,,,,,Fish,Seawater,,431000,1180800,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Pobie Sukka,10000599,FS0039,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,27-Feb-92,HU309806,Shetland,No,Ronas Voe Shorebase,Heylor,,ZE2 9RL,,Fish,Seawater,Medium,430900,1180600,4b - Ronas Voe,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Crooie,10000593,FS0213,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,05-Feb-92,HU398340,Shetland,No,Taing Shorebase,Bridge End,Burra,ZE2 9LE,,Fish,Seawater,Medium,439800,1134000,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Bight of Foraness,10001409,FS0292,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,16-Jan-92,HU457720,Shetland,Yes,Hamnavoe,Lunnaness,Vidlin,ZE2 9QF,,Fish,Seawater,Medium,445700,1172000,2c - NE Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Lismore North,10000642,FS0745,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,10-Jan-92,NM865453,Argyll and Bute,No,South Shian,Connel,"Oban, Argyll",PA37 1SB,,Fish,Seawater,Medium,186500,745300,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
"Loch Creran, site C- Harvest Station",10000495,FS0600,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,24-Dec-91,NM919414,Argyll and Bute,No,N/A,,,,,Fish,Seawater,,191900,741400,,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Loch Lundie,10000484,FS0435,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,18-Oct-91,NG805493,Highland,No,N/A,,,,,Fish,Freshwater,,180500,849300,,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
South Sound,10000540,FS0183,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,30-Sep-91,HU322698,Shetland,Yes,Islesburgh,North Mavine,,ZE2 9RE,,Fish,Seawater,Low,432200,1169800,4c - N St Magnus Bay,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Fishnish (B),10000559,FS0694,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,19-Sep-91,NM652426,Argyll and Bute,Yes,Fishnish,Isle of Mull,Argyll,-,,Fish,Seawater,Medium,165200,742600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Fiunary,10000636,FS0696,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,19-Sep-91,NM592476,Highland,Yes,South Shian,Connel,"Oban, Argyll",PA37 1SB,,Fish,Seawater,Medium,159200,747600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Lochaline West Pier,10000502,FS0693,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,19-Sep-91,NM666442,Highland,No,N/A,,,,,Fish,Seawater,,166600,744200,,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
East of Hildasay,10000537,FS0673,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,16-Sep-91,HU363402,Shetland,No,Foreholm,Brodaberrick,Whitemess,ZE2 9LL,,Fish,Seawater,Medium,436300,1140200,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
North Havra,10001401,FS0674,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,16-Sep-91,HU369432,Shetland,No,Punds Voe Shorebase,Trondra,,ZE1 0XL,,Fish,Seawater,Low,436900,1143200,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Punds Voe,10001367,FS0446,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,10-Sep-91,HU388388,Shetland,No,N/A,,,,,Fish,Seawater,High,438800,1138800,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Papa,10001397,FS0447,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,05-Sep-91,HU372376,Shetland,No,Punds Voe Shorebase,Trondra,,ZE1 0XL,,Fish,Seawater,Low,437200,1137600,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Kerrera B,10000645,FS0663,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,04-Sep-91,NM835307,Argyll and Bute,Yes,South Shian,Connel,"Oban, Argyll",PA37 1SB,,Fish,Seawater,Medium,183500,730700,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Cole Deep,10001413,FS0489,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,27-Feb-91,HU357632,Shetland,Yes,Gonfirth Voe,,,ZE2 9PY,,Fish,Seawater,Medium,435700,1163200,4a - South St Magnus Bay,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Nevis B,10000583,FS0616,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,19-Dec-90,NM748952,Highland,Yes,Mallaig Industrial Estate Building 4,,,PH41 4PX,,Fish,Seawater,Medium,174800,795200,14c - Nevis,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Tanera,10000660,FS0549,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,14-Oct-90,NB995075,Highland,Yes,Summer Isles,By Ullapool,Wester Ross,IV26 2YN,,Fish,Seawater,Medium,199500,907500,10b - Loch Broom,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Nevis C (Ardintigh),10000577,FS0546,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,10-Sep-90,NM770935,Highland,Yes,Mallaig Industrial Estate Building 4,,,PH41 4PX,,Fish,Seawater,Medium,177000,793500,14c - Nevis,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Nevis A,10000580,FS0430,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,02-May-90,NM742970,Highland,Yes,Mallaig Industrial Estate Building 4,,,PH41 4PX,,Fish,Seawater,Medium,174200,797000,14c - Nevis,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Girlsta Hatchery,10001796,FS0504,Atlantic Salmon,Eggs (green or eyed),N/A,1,N/A,17-Aug-89,HU431506,Shetland,Yes,Girlsta,,,ZE2 9SQ,,Fish,Freshwater,Medium,443100,1150600,Not in a management area,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Taing of Railsbrough Catfirth,10001436,FS0501,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,14-Apr-89,HU453515,Shetland,No,Wadbister,Girlsta,,ZE2 9SQ,,Fish,Seawater,Medium,445300,1151500,2b - SE Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Collafirth 2,10001364,FS0461,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,23-Mar-89,HU443697,Shetland,No,N/A,,,,,Fish,Seawater,,444300,1169700,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Collafirth I,10001357,FS0394,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,23-Mar-89,HU433692,Shetland,No,N/A,,,,,Fish,Seawater,,443300,1169200,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Breigeo  (Offshore),10000618,FS0607,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-89,HU357465,Shetland,No,N/A,,,,,Fish,Seawater,Medium,435700,1146500,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Coleness,10001384,FS0378,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-89,HU364624,Shetland,No,N/A,,,,,Fish,Seawater,Medium,436400,1162400,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Loch Ba,10000561,FS0429,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Jan-89,NM564379,Argyll and Bute,No,Gruline,Aros,,PA71 6HR,,Fish,Freshwater,Low,156400,737900,Not in a management area,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
North Papa,10001417,FS0515,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-89,HU365383,Shetland,Yes,Punds Voe Shorebase,Trondra,,ZE1 0XL,,Fish,Seawater,Medium,436500,1138300,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Olna North,10001377,FS0512,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-89,HU379650,Shetland,No,N/A,,,,,Fish,Seawater,Low,437900,1165000,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Scallastle,10000627,FS0209,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Dec-88,NM689396,Argyll and Bute,Yes,Scallastle Bay,Garmony,,PA65 6AY,,Fish,Seawater,Medium,168900,739600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Terregles,10000490,FS0538,Atlantic Salmon,Eggs (green or eyed),N/A,0,N/A,28-Jul-88,NX930773,Dumfries and Galloway,No,N/A,,,,,Fish,Freshwater,High,293000,577300,Not in a management area,Dumfries & Galloway,Scottish Sea Farms Ltd,Atlantic Salmon
Fishnish (A),10000556,FS0427,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-88,NM638425,Argyll and Bute,Yes,Fishnish,Isle of Mull,Argyll,-,,Fish,Seawater,Medium,163800,742500,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Loch Creran (B),10000648,FS0426,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-88,NM934417,Argyll and Bute,Yes,South Shian,Connel,"Oban, Argyll",PA37 1SB,,Fish,Seawater,Medium,193400,741700,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Loch Frisa,10000585,FS0428,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Jan-88,NM468507,Argyll and Bute,No,North End,Tobermory,,PA75 6QF,,Fish,Freshwater,Low,146800,750700,Not in a management area,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Loch Spelve (B),10000654,FS0253,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-88,NM689269,Argyll and Bute,Yes,South Shian,Connel,"Oban, Argyll",PA37 1SB,,Fish,Seawater,Medium,168900,726900,16c - Loch Spelve,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
North of Hoy,10000528,FS0481,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-88,HU374454,Shetland,No,N/A,,,,,Fish,Seawater,High,437400,1145400,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Setter Voe,10001419,FS0316,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-88,HU377360,Shetland,Yes,Punds Voe Shorebase,Trondra,,ZE1 0XL,,Fish,Seawater,Low,437700,1136000,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Stromness North,10000505,FS0801,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-88,HU383450,Shetland,No,N/A,,,,,Fish,Seawater,,438300,1145000,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Vidlin Ness,10000507,FS0732,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,26-Nov-87,HU481662,Shetland,No,N/A,,,,,Fish,Seawater,Medium,448100,1166200,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Vidlin Voe - Site 1,10000506,FS0109,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,26-Nov-87,HU483658,Shetland,No,N/A,,,,,Fish,Seawater,,448300,1165800,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Swining Voe 2,10001376,FS0377,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,09-Nov-87,HU462689,Shetland,No,N/A,,,,,Fish,Seawater,High,446200,1168900,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Dunstaffnage,10000657,FS0299,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-87,NM867341,Argyll and Bute,Yes,South Shian,Connel,"Oban, Argyll",PA37 1SB,,Fish,Seawater,Medium,186700,734100,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Kishorn A (South),10000568,FS0709,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-87,NG830385,Highland,Yes,Loch Kishorn,Ross-shire,Ross-shire,IV54 8XB,,Fish,Seawater,Medium,183000,838500,"14a - Carron, Kishorn, Alsh, Duich",Highland,Scottish Sea Farms Ltd,Atlantic Salmon
East Voe Laxfirth,10001383,FS0333,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,20-Oct-86,HU449482,Shetland,No,N/A,,,,,Fish,Seawater,Medium,444900,1148200,2b - SE Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Langa Isle (East),10001411,FS0433,Atlantic Salmon,Grower fish (salmon only),N/A,1,N/A,01-Jan-86,HU376394,Shetland,Yes,Punds Voe Shorebase,Trondra,,ZE1 0XL,,Fish,Seawater,Medium,437600,1139400,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Loch Uisg,10000487,FS0256,Atlantic Salmon,Salmon freshwater stages,N/A,0,N/A,01-Jan-86,NM648256,Argyll and Bute,No,N/A,,,,,Fish,Freshwater,,164800,725600,,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Wadbister Voe,10001373,FS0140,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,25-Nov-85,HU435499,Shetland,No,N/A,,,,,Fish,Seawater,Medium,443500,1149900,,Shetland,Scottish Sea Farms Ltd,Atlantic Salmon
Kerrera A,10000509,FS0261,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,11-Nov-85,NM845301,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Low,184500,730100,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Loch Spelve (A),10000511,FS0634,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-83,NM677268,Argyll and Bute,No,N/A,,,,,Fish,Seawater,Medium,167700,726800,,Strathclyde,Scottish Sea Farms Ltd,Atlantic Salmon
Lochaline,10000496,FS0424,Atlantic Salmon,Grower fish (salmon only),N/A,0,N/A,01-Jan-83,NM689452,Highland,No,N/A,,,,,Fish,Seawater,,168900,745200,,Highland,Scottish Sea Farms Ltd,Atlantic Salmon
Hunterston,20000366,FS0601,N/A,N/A,Seawater Tanks,0,,01-Jan-81,NS179514,North Ayrshire,No,N/A,,,,,Fish,Seawater,,217900,651400,,Strathclyde,Scottish Sea Farms Ltd,N/A
West of Hevdagarth,10004511,SS0907,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,04-May-17,HU518915,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,451800,1191500,"1b - S Unst, E Yell, Fetlar",Shetland,Seafield Mussels Ltd,Common mussel
Bunyasand,10004508,SS0882,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,16-Jul-14,HU523909,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,452300,1190900,"1b - S Unst, E Yell, Fetlar",Shetland,Seafield Mussels Ltd,Common mussel
Cul Ness,10004502,SS0691,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,26-Jun-03,HU477693,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,447700,1169300,2c - NE Shetland mainland,Shetland,Seafield Mussels Ltd,Common mussel
Camb,10004505,SS0633,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,09-Apr-01,HU511919,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,451100,1191900,"1b - S Unst, E Yell, Fetlar",Shetland,Seafield Mussels Ltd,Common mussel
Seafield Centre,10004870,SS0476,Flat or native oyster,Shellfish juveniles/growers,N/A,1,N/A,03-Dec-91,NG834391,Highland,Yes,10 Achintraid,Ross-shire,Ross-shire,IV54 8XB,,Shellfish,Seawater,High,183400,839100,"14a - Carron, Kishorn, Alsh, Duich",Highland,Seafield Oysters,Flat or native oyster
Seaforth South,10004107,SS0840,Common mussel,Shellfish spat,N/A,1,N/A,09-Feb-12,NB214083,Western Isles,Yes,Lime Park,Scalpay,Western Isles,HS4 3XZ,,Shellfish,Seawater,Low,121400,908300,"5b - SE Lewis, E Harris",Western Isles,Seaforth Mussels,Common mussel
Seaforth Island East,10004106,SS0825,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,07-Dec-10,NB215113,Western Isles,No,Lime Park,Scalpay,Western Isles,HS4 3XZ,,Shellfish,Seawater,Low,121500,911300,"5b - SE Lewis, E Harris",Western Isles,Seaforth Mussels,Common mussel
Loch Seaforth,10004105,SS0615,Common mussel,Shellfish juveniles/growers,N/A,0,N/A,13-Dec-00,NB218071,Western Isles,No,N/A,,,,,Shellfish,Seawater,High,121800,907100,,Western Isles,Seaforth Mussels,Common mussel
Sound of Scalpay,10004111,SS0580,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,31-Aug-99,NG225975,Western Isles,No,Lime Park,Scalpay,Western Isles,HS4 3XZ,,Shellfish,Seawater,Low,122500,897500,"5b - SE Lewis, E Harris",Western Isles,Seaforth Mussels,Common mussel
Fuam an Tolla (Site 2),10004108,SS0164,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,11-Dec-85,NG205962,Western Isles,Yes,Lime Park,Scalpay,Western Isles,HS4 3XZ,,Shellfish,Seawater,Low,120500,896200,"5b - SE Lewis, E Harris",Western Isles,Seaforth Mussels,Common mussel
Granton Hatchery,10006455,SS0978,European lobster,Shellfish adults/saleable size,N/A,1,N/A,09-Nov-23,NT238775,City of Edinburgh,Yes,6/1 Lochend Park,,,EH7 6BT,07774 103405,Shellfish,Seawater,High,323800,677500,,Lothian,Seahunter Marine,European lobster
Ullapool Harbour,10006568,SS0981,Flat or native oyster,Shellfish adults/saleable size,N/A,0,N/A,11-Dec-24,NH128938,Highland,New,4 Loggie,Lochbroom,,IV23 2SG,,Shellfish,Seawater,High,212800,893800,10b - Loch Broom,Highland,Seawilding,Flat or native oyster
Rubha Buidhe,10005320,SS0966,Flat or native oyster,Shellfish juveniles/growers,N/A,0,N/A,01-Feb-23,NH124925,Highland,No,4 Loggie,Lochbroom,,IV23 2SG,,Shellfish,Seawater,High,212400,892500,10b - Loch Broom,Highland,Seawilding,Flat or native oyster
Loggie Bay,10005229,SS0956,Flat or native oyster,Shellfish juveniles/growers,N/A,1,N/A,08-Feb-22,NH146912,Highland,No,4 Loggie,Lochbroom,,IV23 2SG,07810 533837,Shellfish,Seawater,High,214600,891200,10b - Loch Broom,Highland,Seawilding,Flat or native oyster
Sgeir Liath - Mhor,20002766,SS0851,N/A,N/A,Seawater Trestles or trays,20,,29-Oct-12,NM776172,Argyll and Bute,Yes,The Ferry House,Easdale Island,"Oban, Argyll",PA34 4TB,,Shellfish,Seawater,Low,177600,717200,16d - Seil Sound to Loch Craignish,Strathclyde,Seil Sound Shellfish,N/A
Sgier Liath Beag,20002764,SS0349,N/A,N/A,Seawater Trestles or trays,0,,06-Dec-99,NM777175,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,,177700,717500,,Strathclyde,Seil Sound Shellfish,N/A
Ardshellach,20002765,SS0366,N/A,N/A,Seawater Trestles or trays,20,,26-May-90,NM781182,Argyll and Bute,Yes,The Ferry House,Easdale Island,"Oban, Argyll",PA34 4TB,,Shellfish,Seawater,Low,178100,718200,16d - Seil Sound to Loch Craignish,Strathclyde,Seil Sound Shellfish,N/A
Craig Ulian,20002763,SS0351,N/A,N/A,Seawater Trestles or trays,0,,02-Mar-89,NM780174,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,,178000,717400,,Strathclyde,Seil Sound Shellfish,N/A
New Farm,10006545,FS0680,Atlantic Salmon,Broodfish,N/A,0,N/A,19-Aug-91,NT132070,Dumfries and Galloway,Yes,Selcoth Farm,,Dumfriesshire,DG10 9LG,,Fish,Freshwater,Low,313200,607000,Not in a management area,Dumfries & Galloway,Selcoth Fisheries Ltd,Atlantic Salmon
Moffat Water,10006544,FS0102,Atlantic Salmon,Broodfish,N/A,0,N/A,08-Sep-81,NT137077,Dumfries and Galloway,Yes,Selcoth Farm,,Dumfriesshire,DG10 9LG,,Fish,Freshwater,Low,313700,607700,Not in a management area,Dumfries & Galloway,Selcoth Fisheries Ltd,Atlantic Salmon
Selcoth Burn,20000076,FS0103,N/A,N/A,Freshwater Tanks,0,,10-Mar-78,NT136074,Dumfries and Galloway,No,N/A,,,,,Fish,Freshwater,High,313600,607400,,Dumfries & Galloway,Selcoth Fisheries Ltd,N/A
"Scuttavoe, Gruting",10004523,SS0748,Common mussel,Shellfish juveniles/growers,N/A,1,N/A,16-Sep-05,HU274496,Shetland,Yes,Selivoe,Bridge of Walls,,ZE2 9NR,,Shellfish,Seawater,Low,427400,1149600,"3b - Gruting, Vaila, Walls",Shetland,Selivoe Shellfish,Common mussel
Selivoe,10004525,SS0654,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,01-Nov-01,HU281481,Shetland,Yes,Selivoe,Bridge of Walls,,ZE2 9NR,,Shellfish,Seawater,Medium,428100,1148100,"3b - Gruting, Vaila, Walls",Shetland,Selivoe Shellfish,Common mussel
Papa North,10005241,SS0957,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,05-May-22,HU333622,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,01595 809456,Shellfish,Seawater,Medium,433300,1162200,4a - South St Magnus Bay,Shetland,Shetland Mussels Ltd,Common mussel
Aith Voe West,10004361,SS0906,Common mussel,Shellfish spat,N/A,1,N/A,03-Apr-17,HU345568,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,High,434500,1156800,4a - South St Magnus Bay,Shetland,Shetland Mussels Ltd,Common mussel
Grunna Voe,10004368,SS0905,Common mussel,Shellfish spat,N/A,0,N/A,03-Apr-17,HU460614,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,446000,1161400,"2a - Vidlin Voe, Dury Voe, W Whalsay",Shetland,Shetland Mussels Ltd,Common mussel
Crossroads,10004357,SS0903,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,20-Mar-17,HU295585,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,High,429500,1158500,4a - South St Magnus Bay,Shetland,Shetland Mussels Ltd,Common mussel
Merry Holm,10004383,SS0902,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,20-Mar-17,HU388376,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,438800,1137600,3a - SW Shetland mainland,Shetland,Shetland Mussels Ltd,Common mussel
Skewart Holm (Linga),10004359,SS0904,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,20-Mar-17,HU284587,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,High,428400,1158700,4a - South St Magnus Bay,Shetland,Shetland Mussels Ltd,Common mussel
Brandy Ayre,10004347,SS0868,Common mussel,Shellfish adults/saleable size,N/A,1,N/A,23-Aug-13,HU244462,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,High,424400,1146200,"3b - Gruting, Vaila, Walls",Shetland,Shetland Mussels Ltd,Common mussel
